Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
5, 1, Settle New City running, TARGET 65:32
5, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 3, Naval Superiority, ,0, Not Ready, 
5, 3, Settle New City, No recruits to reach minimum, , , 
5, 3, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 3, Settle New City, No recruits to reach minimum, , , 
5, 3, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 3, Settle New City, Operation Move, UNIT_SETTLER, 10:24, 10:23, 10:23
5, 3, Settle New City, Operation Move, UNIT_WARRIOR, 10:23, 10:23, 10:23
5, 3, Naval Superiority, No recruits to reach minimum, , , 
5, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 4, Settle New City running, TARGET 63:10
5, 4, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 4, Naval Superiority running, TARGET 65:9
5, 4, Naval Superiority, ,0, Not Ready, 
5, 4, Settle New City, No recruits to reach minimum, , , 
5, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 4, Settle New City, Operation Move, UNIT_SETTLER, 66:10, 63:10, 66:10
5, 4, Settle New City, Operation Move, UNIT_WARRIOR, 66:10, 63:10, 66:10
5, 4, Naval Superiority, No recruits to reach minimum, , , 
5, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 5, Settle New City running, TARGET 20:23
5, 5, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 5, Settle New City, No recruits to reach minimum, , , 
5, 5, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 5, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 5, Settle New City, Operation Move, UNIT_SETTLER, 24:24, 20:23, 24:24
5, 5, Settle New City, Operation Move, UNIT_WARRIOR, 24:24, 20:23, 24:24
5, 6, Settle New City running, TARGET 16:41
5, Settle New City, 6, , Battle line, 18:41, 0 endangered
5, 6, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; 
5, Settle New City, 6, , Battle line, 18:41, 0 endangered
5, 6, Settle New City, No recruits to reach minimum, , , 
5, 6, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, Settle New City, 6, , Battle line, 18:41, 0 endangered
5, 6, Settle New City, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 6, Settle New City, Operation Move, UNIT_SETTLER, 17:42, 16:41, 16:41
5, 6, Settle New City, Operation Move, UNIT_WARRIOR, 16:41, 16:41, 16:41
5, 6, Settle New City, Operation Move, UNIT_WARRIOR, 17:41, 17:41, 17:41
5, 6, Settle New City, Operation complete
5, 7, Barb Camp Tech Boost, Started
5, 7, Settle New City running, TARGET 42:48
5, Settle New City, 7, , Battle line, 42:49, 0 endangered
5, 7, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 7, Barb Camp Tech Boost running, TARGET 38:39
5, 7, Barb Camp Tech Boost, ,0, Not Ready, 
5, 7, Settle New City, No recruits to reach minimum, , , 
5, 7, Settle New City, Recruiting strength, , Enemy Str: 25 / 20.0, UNIT_WARRIOR
5, 7, Settle New City, Recruiting strength, , Enemy Str: 25 / 20.0, UNIT_WARRIOR
5, Settle New City, 7, , Battle line, 42:49, 0 endangered
5, 7, Settle New City, Operation Recruit, 4 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
5, 7, Settle New City, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 43:51
5, 7, Settle New City, Operation Move, UNIT_SETTLER, 42:48, 42:48, 42:48
5, 7, Settle New City, Operation Move, UNIT_WARRIOR, 42:48, 42:48, 42:48
5, 7, Settle New City, Operation Move, UNIT_WARRIOR, 42:49, 42:49, 42:49
5, 7, Settle New City, Operation Move, UNIT_WARRIOR, 41:43, 41:47, 41:45
5, 7, Settle New City, Operation complete
5, 7, Barb Camp Tech Boost, Operation Change Target INVALID, No backup
5, 7, Barb Camp Tech Boost, Operation complete
5, 8, Settle New City running, TARGET 38:16
5, 8, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 8, Naval Superiority running, TARGET 33:17
5, 8, Naval Superiority, ,0, Not Ready, 
5, 8, Settle New City, No recruits to reach minimum, , , 
5, 8, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 8, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 8, Settle New City, Operation Move, UNIT_SETTLER, 35:15, 37:15, 37:15
5, 8, Settle New City, Operation Move, UNIT_WARRIOR, 37:15, 37:15, 37:15
5, 8, Naval Superiority, No recruits to reach minimum, , , 
5, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 9, Settle New City running, TARGET 81:37
5, 9, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 9, Settle New City, No recruits to reach minimum, , , 
5, 9, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 9, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 9, Settle New City, Operation Move, UNIT_SETTLER, 84:36, 81:37, 83:37
5, 9, Settle New City, Operation Move, UNIT_WARRIOR, 83:37, 81:37, 84:38
5, 10, Naval Superiority running, TARGET 14:50
5, 10, Naval Superiority, ,0, Not Ready, 
5, 10, Naval Superiority, No recruits to reach minimum, , , 
5, 10, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 11, Naval Superiority running, TARGET 83:17
5, 11, Naval Superiority, ,0, Not Ready, 
5, 11, Naval Superiority, No recruits to reach minimum, , , 
5, 11, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 13, Naval Superiority running, TARGET 29:45
5, 13, Naval Superiority, ,0, Not Ready, 
5, 13, Naval Superiority, No recruits to reach minimum, , , 
5, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 14, Naval Superiority running, TARGET 79:26
5, 14, Naval Superiority, ,0, Not Ready, 
5, 14, Naval Superiority, No recruits to reach minimum, , , 
5, 14, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 15, Naval Superiority running, TARGET 66:18
5, 15, Naval Superiority, ,0, Not Ready, 
5, 15, Naval Superiority, No recruits to reach minimum, , , 
5, 15, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 17, Naval Superiority running, TARGET 95:22
5, 17, Naval Superiority, ,0, Not Ready, 
5, 17, Naval Superiority, No recruits to reach minimum, , , 
5, 17, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 18, Naval Superiority running, TARGET 28:18
5, 18, Naval Superiority, ,0, Not Ready, 
5, 18, Naval Superiority, No recruits to reach minimum, , , 
5, 18, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 19, Naval Superiority running, TARGET 18:23
5, 19, Naval Superiority, ,0, Not Ready, 
5, 19, Naval Superiority, No recruits to reach minimum, , , 
5, 19, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 20, Naval Superiority running, TARGET 51:30
5, 20, Naval Superiority, ,0, Not Ready, 
5, 20, Naval Superiority, No recruits to reach minimum, , , 
5, 20, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 21, Naval Superiority running, TARGET 94:41
5, 21, Naval Superiority, ,0, Not Ready, 
5, 21, Naval Superiority, No recruits to reach minimum, , , 
5, 21, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 22, Naval Superiority running, TARGET 41:35
5, 22, Naval Superiority, ,0, Not Ready, 
5, 22, Attack Barb Camp running, TARGET 38:39
5, 22, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
5, 22, Attack Barb Camp, Operation Change Target INVALID, No backup
5, 22, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
5, 22, Attack Barb Camp, Operation complete
5, 22, Naval Superiority, No recruits to reach minimum, , , 
5, 22, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 23, Naval Superiority running, TARGET 78:43
5, 23, Naval Superiority, ,0, Not Ready, 
5, 23, Naval Superiority, No recruits to reach minimum, , , 
5, 23, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 25, Naval Superiority running, TARGET 37:7
5, 25, Naval Superiority, ,0, Not Ready, 
5, 25, Naval Superiority, No recruits to reach minimum, , , 
5, 25, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 26, Naval Superiority running, TARGET 76:40
5, 26, Naval Superiority, ,0, Not Ready, 
5, 26, Naval Superiority, No recruits to reach minimum, , , 
5, 26, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 27, Naval Superiority running, TARGET 14:32
5, 27, Naval Superiority, ,0, Not Ready, 
5, 27, Naval Superiority, No recruits to reach minimum, , , 
5, 27, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 28, Naval Superiority running, TARGET 47:42
5, 28, Naval Superiority, ,0, Not Ready, 
5, 28, Naval Superiority, No recruits to reach minimum, , , 
5, 28, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 29, Naval Superiority running, TARGET 87:27
5, 29, Naval Superiority, ,0, Not Ready, 
5, 29, Naval Superiority, No recruits to reach minimum, , , 
5, 29, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 30, Naval Superiority running, TARGET 77:34
5, 30, Naval Superiority, ,0, Not Ready, 
5, 30, Naval Superiority, No recruits to reach minimum, , , 
5, 30, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 1, Settle New City running, TARGET 65:32
6, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 1, Naval Superiority running, TARGET 69:34
6, 1, Naval Superiority, ,0, Not Ready, 
6, 1, Settle New City, No recruits to reach minimum, , , 
6, 1, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 1, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 1, Settle New City, Operation Move, UNIT_SETTLER, 65:33, 65:32, 65:32
6, 1, Settle New City, Operation Move, UNIT_WARRIOR, 65:32, 65:32, 65:32
6, 1, Settle New City, Operation complete
6, 1, Naval Superiority, No recruits to reach minimum, , , 
6, 1, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 2, Barb Camp Tech Boost, Started
6, 2, Settle New City running, TARGET 64:24
6, 2, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 2, Naval Superiority running, TARGET 61:23
6, 2, Naval Superiority, ,0, Not Ready, 
6, 2, Barb Camp Tech Boost running, TARGET 66:26
6, 2, Barb Camp Tech Boost, ,0, Not Ready, 
6, 2, Settle New City, No recruits to reach minimum, , , 
6, 2, Settle New City, Recruiting strength, , Enemy Str: 25 / 20.0, UNIT_WARRIOR
6, 2, Settle New City, Recruiting strength, , Enemy Str: 25 / 20.0, UNIT_WARRIOR
6, 2, Settle New City, No recruits to reach minimum, , , 
6, 2, Settle New City, No recruits to match strength, , Enemy Str: 25 / 20.0, 
6, 2, Settle New City, Operation Recruit, 4 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
6, 2, Settle New City, Operation Move, UNIT_SETTLER, 61:20, 60:21, 61:20
6, 2, Settle New City, Operation Move, UNIT_WARRIOR, 59:18, 61:21, 60:19
6, 2, Settle New City, Operation Move, UNIT_WARRIOR, 62:17, 61:21, 61:19
6, 2, Barb Camp Tech Boost, Recruiting minimums, , , UNIT_WARRIOR
6, 2, Barb Camp Tech Boost, Recruiting minimums, , , UNIT_WARRIOR
6, 2, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 25 / 0.0, UNIT_WARRIOR
6, 2, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 25 / 0.0, UNIT_WARRIOR
6, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
6, 2, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 25 / 0.0, 
6, Barb Camp Tech Boost, 2, , Battle line, 64:25, 0 endangered
6, 2, Barb Camp Tech Boost, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
6, Barb Camp Tech Boost, 2, , Battle line, 64:25, 0 endangered
6, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
6, 2, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 25 / 20.0, UNIT_WARRIOR
6, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
6, 2, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 25 / 20.0, 
6, Barb Camp Tech Boost, 2, , Battle line, 62:25, 0 endangered
6, 2, Barb Camp Tech Boost, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
6, Barb Camp Tech Boost, 2, , Battle line, 62:25, 0 endangered
6, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
6, 2, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 25 / 20.0, 
6, Barb Camp Tech Boost, 2, , Battle line, 62:25, 0 endangered
6, 2, Barb Camp Tech Boost, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 2, Barb Camp Tech Boost, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 66:26
6, 2, Barb Camp Tech Boost, Operation Attack Units, UNIT_WARRIOR, At 64:25, Move 65:25, Attack -9999:-9999
6, 2, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_WARRIOR, At 57:24, Move -9999:-9999, Arrive 57:24
6, 2, Barb Camp Tech Boost, Attack Target Melee Attack, UNIT_WARRIOR, At 58:25
6, 2, Naval Superiority, No recruits to reach minimum, , , 
6, 2, Naval Superiority, No recruits to reach minimum, , , 
6, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 3, Settle New City running, TARGET 11:23
6, 3, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 3, Naval Superiority running, TARGET 9:26
6, 3, Naval Superiority, ,0, Not Ready, 
6, 3, Settle New City, No recruits to reach minimum, , , 
6, 3, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 3, Settle New City, Operation Move, UNIT_SETTLER, 10:23, 11:23, 11:23
6, 3, Settle New City, Operation Move, UNIT_WARRIOR, 11:23, 11:23, 11:23
6, 3, Settle New City, Operation complete
6, 3, Naval Superiority, No recruits to reach minimum, , , 
6, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 4, Settle New City running, TARGET 63:10
6, 4, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 4, Naval Superiority running, TARGET 65:9
6, 4, Naval Superiority, ,0, Not Ready, 
6, 4, Settle New City, No recruits to reach minimum, , , 
6, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 4, Settle New City, Operation Move, UNIT_SETTLER, 66:10, 63:10, 66:10
6, 4, Settle New City, Operation Move, UNIT_WARRIOR, 66:10, 63:10, 66:10
6, 4, Naval Superiority, No recruits to reach minimum, , , 
6, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 5, Settle New City running, TARGET 20:23
6, 5, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 5, Settle New City, No recruits to reach minimum, , , 
6, 5, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 5, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 5, Settle New City, Operation Move, UNIT_SETTLER, 24:24, 21:24, 24:24
6, 5, Settle New City, Operation Move, UNIT_WARRIOR, 24:24, 21:24, 24:24
6, 6, Settle New City, Started
6, 6, Settle New City running, TARGET 22:45
6, 6, Settle New City, ,0, Not Ready, 
6, 6, Settle New City, Recruiting minimums, , , UNIT_WARRIOR
6, 6, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_WARRIOR
6, 6, Settle New City, No recruits to reach minimum, , , 
6, 6, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, Settle New City, 6, , Battle line, 20:43, 0 endangered
6, 6, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
6, Settle New City, 6, , Battle line, 20:43, 0 endangered
6, 6, Settle New City, No recruits to reach minimum, , , 
6, 6, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 6, Settle New City, No recruits to reach minimum, , , 
6, 6, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, Settle New City, 6, , Battle line, 20:43, 0 endangered
6, 6, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 6, Settle New City, Op Attack Units Targets, Target 0, Owner 63, UNIT_SCOUT, 21:43
6, 6, Settle New City, Operation Attack Units, UNIT_WARRIOR, At 20:45, Move 22:44, Attack -9999:-9999
6, 6, Settle New City, Operation Move, UNIT_SETTLER, 15:41, 20:44, 17:42
6, 7, Settle New City, Started
6, 7, Barb Camp Tech Boost, Started
6, 7, Barb Camp Tech Boost running, TARGET -9999:-9999
6, 7, Barb Camp Tech Boost, ,0, Not Ready, 
6, 7, Settle New City running, TARGET 43:44
6, 7, Settle New City, ,0, Not Ready, 
6, Settle New City, 7, , Battle line, 41:49, 0 endangered
6, 7, Settle New City, Recruiting minimums, , , UNIT_WARRIOR
6, 7, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_WARRIOR
6, Settle New City, 7, , Battle line, 41:49, 0 endangered
6, 7, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
6, Settle New City, 7, , Battle line, 41:49, 0 endangered
6, 7, Settle New City, No recruits to reach minimum, , , 
6, 7, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, Settle New City, 7, , Battle line, 41:49, 0 endangered
6, 7, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 7, Settle New City, Operation Move, UNIT_SETTLER, 41:48, 41:48, 41:48
6, 7, Settle New City, Operation Move, UNIT_WARRIOR, 41:48, 41:48, 41:48
6, 7, Settle New City, Operation Move, UNIT_SETTLER, 41:48, 43:44, 41:48
6, 7, Settle New City, Operation Move, UNIT_WARRIOR, 41:48, 43:44, 41:48
6, 7, Barb Camp Tech Boost, Operation Change Target INVALID, No backup
6, 7, Barb Camp Tech Boost, Operation complete
6, 8, Settle New City running, TARGET 38:16
6, 8, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 8, Naval Superiority running, TARGET 33:17
6, 8, Naval Superiority, ,0, Not Ready, 
6, 8, Settle New City, No recruits to reach minimum, , , 
6, 8, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 8, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 8, Settle New City, Operation Move, UNIT_SETTLER, 37:15, 38:16, 38:16
6, 8, Settle New City, Operation Move, UNIT_WARRIOR, 38:16, 38:16, 38:16
6, 8, Settle New City, Operation complete
6, 8, Naval Superiority, No recruits to reach minimum, , , 
6, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 9, Settle New City running, TARGET 81:37
6, 9, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
6, 9, Settle New City, No recruits to reach minimum, , , 
6, 9, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 9, Settle New City, No recruits to reach minimum, , , 
6, 9, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
6, 9, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 9, Settle New City, Operation Move, UNIT_SETTLER, 84:38, 81:37, 83:38
6, 9, Settle New City, Operation Move, UNIT_WARRIOR, 83:38, 81:37, 83:38
6, 10, Naval Superiority running, TARGET 14:50
6, 10, Naval Superiority, ,0, Not Ready, 
6, 10, Naval Superiority, No recruits to reach minimum, , , 
6, 10, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 11, Naval Superiority running, TARGET 83:17
6, 11, Naval Superiority, ,0, Not Ready, 
6, 11, Naval Superiority, No recruits to reach minimum, , , 
6, 11, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 13, Naval Superiority running, TARGET 29:45
6, 13, Naval Superiority, ,0, Not Ready, 
6, 13, Naval Superiority, No recruits to reach minimum, , , 
6, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 14, Naval Superiority running, TARGET 79:26
6, 14, Naval Superiority, ,0, Not Ready, 
6, 14, Naval Superiority, No recruits to reach minimum, , , 
6, 14, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 15, Naval Superiority running, TARGET 66:18
6, 15, Naval Superiority, ,0, Not Ready, 
6, 15, Naval Superiority, No recruits to reach minimum, , , 
6, 15, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 17, Naval Superiority running, TARGET 95:22
6, 17, Naval Superiority, ,0, Not Ready, 
6, 17, Naval Superiority, No recruits to reach minimum, , , 
6, 17, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 18, Naval Superiority running, TARGET 28:18
6, 18, Naval Superiority, ,0, Not Ready, 
6, 18, Naval Superiority, No recruits to reach minimum, , , 
6, 18, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 19, Naval Superiority running, TARGET 18:23
6, 19, Naval Superiority, ,0, Not Ready, 
6, 19, Naval Superiority, No recruits to reach minimum, , , 
6, 19, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 20, Naval Superiority running, TARGET 51:30
6, 20, Naval Superiority, ,0, Not Ready, 
6, 20, Naval Superiority, No recruits to reach minimum, , , 
6, 20, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 21, Naval Superiority running, TARGET 94:41
6, 21, Naval Superiority, ,0, Not Ready, 
6, 21, Naval Superiority, No recruits to reach minimum, , , 
6, 21, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 22, Naval Superiority running, TARGET 41:35
6, 22, Naval Superiority, ,0, Not Ready, 
6, 22, Naval Superiority, No recruits to reach minimum, , , 
6, 22, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 23, Naval Superiority running, TARGET 78:43
6, 23, Naval Superiority, ,0, Not Ready, 
6, 23, Naval Superiority, No recruits to reach minimum, , , 
6, 23, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 25, Naval Superiority running, TARGET 37:7
6, 25, Naval Superiority, ,0, Not Ready, 
6, 25, Naval Superiority, No recruits to reach minimum, , , 
6, 25, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 26, Naval Superiority running, TARGET 76:40
6, 26, Naval Superiority, ,0, Not Ready, 
6, 26, Naval Superiority, No recruits to reach minimum, , , 
6, 26, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 27, Naval Superiority running, TARGET 14:32
6, 27, Naval Superiority, ,0, Not Ready, 
6, 27, Naval Superiority, No recruits to reach minimum, , , 
6, 27, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
6, 28, Naval Superiority running, TARGET 47:42
6, 28, Naval Superiority, ,0, Not Ready, 
6, 28, Naval Superiority, No recruits to reach minimum, , , 
6, 28, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
