,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_BARBARIAN_RAIDER,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_AMERICAN_ROUGH_RIDER,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND
UNIT_GREAT_ADMIRAL, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_ENGINEER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_MERCHANT, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_PROPHET, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_SCIENTIST, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_WRITER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_ARTIST, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREAT_MUSICIAN, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_SPY, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_NATURALIST, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_SCOUT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.14, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.00, 0.45, 0.59, 0.45, 0.45, 0.21, 0.31, 0.31, 0.21, 0.28, 0.31, 0.25, 100.00, 0.31, 0.13, 0.13, 0.28, 0.09, 0.13, 0.20, 100.00, 0.20, 0.13, 0.07, 0.12, 0.07, 0.09, 0.07, 0.09, 0.08, 100.00, 0.09, 0.05, 0.05, 0.06, 0.04, 0.04, 0.05, 0.05, 0.03, 0.04, 0.03, 0.04, 0.03, 100.00, 0.04, 0.03, 0.04, 100.00, 0.01, 0.03, 0.02, 0.02, 0.01, 0.02, 0.02, 0.03, 0.02, 0.00, 0.00, 0.01, 100.00, 0.02, 0.03, 0.02, 0.02, 0.01, 0.02, 0.01, 100.00, 0.00, 0.00, 0.01, 0.02, 0.01, 0.25, 0.04, 0.09, 0.05, 0.22, 0.13, 0.13, 0.21, 0.03, 0.09, 0.04, 0.03, 0.03, 0.09, 0.08, 0.05, 0.45, 0.04, 0.07, 0.03, 0.14, 0.07, 0.13, 0.05, 0.21, 0.04, 0.04, 0.02, 100.00, 0.05, 100.00, 0.18, 0.08, 0.04, 0.01, 100.00
UNIT_WARRIOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.31, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.20, 1.00, 1.29, 1.00, 0.98, 0.45, 0.69, 0.69, 0.45, 0.43, 1.00, 0.54, 100.00, 1.00, 0.29, 0.29, 0.59, 0.21, 0.29, 0.34, 100.00, 0.45, 0.22, 0.11, 0.21, 0.11, 0.21, 0.11, 0.15, 0.14, 100.00, 0.29, 0.08, 0.08, 0.09, 0.08, 0.06, 0.08, 0.08, 0.04, 0.06, 0.05, 0.05, 0.05, 100.00, 0.06, 0.05, 0.06, 100.00, 0.01, 0.04, 0.03, 0.03, 0.02, 0.02, 0.02, 0.05, 0.03, 0.00, 0.00, 0.01, 100.00, 0.02, 0.05, 0.03, 0.03, 0.01, 0.02, 0.02, 100.00, 0.00, 0.01, 0.02, 0.04, 0.02, 0.54, 0.06, 0.17, 0.08, 0.36, 0.29, 0.29, 0.32, 0.04, 0.29, 0.06, 0.05, 0.04, 0.15, 0.14, 0.08, 1.00, 0.06, 0.12, 0.05, 0.31, 0.11, 0.29, 0.08, 0.45, 0.06, 0.07, 0.03, 100.00, 0.11, 100.00, 0.41, 0.16, 0.05, 0.01, 100.00
UNIT_SLINGER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.24, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.69, 0.78, 1.00, 0.78, 0.82, 0.35, 0.36, 0.36, 0.25, 0.35, 0.52, 0.41, 100.00, 0.52, 0.22, 0.22, 0.45, 0.19, 0.22, 0.36, 100.00, 0.20, 0.17, 0.14, 0.22, 0.14, 0.19, 0.14, 0.15, 0.17, 100.00, 0.18, 0.10, 0.10, 0.09, 0.09, 0.05, 0.06, 0.06, 0.07, 0.08, 0.07, 0.08, 0.07, 100.00, 0.06, 0.07, 0.09, 100.00, 0.02, 0.05, 0.05, 0.03, 0.02, 0.02, 0.02, 0.05, 0.04, 0.01, 0.01, 0.02, 100.00, 0.04, 0.05, 0.03, 0.03, 0.01, 0.03, 0.03, 100.00, 0.01, 0.02, 0.02, 0.04, 0.03, 0.41, 0.05, 0.18, 0.10, 0.27, 0.22, 0.22, 0.27, 0.06, 0.18, 0.08, 0.08, 0.04, 0.15, 0.15, 0.10, 0.78, 0.08, 0.15, 0.07, 0.25, 0.13, 0.22, 0.06, 0.25, 0.08, 0.07, 0.05, 100.00, 0.10, 100.00, 0.31, 0.17, 0.07, 0.02, 100.00
UNIT_BARBARIAN_HORSEMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.31, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.20, 1.00, 1.29, 1.00, 0.98, 0.45, 0.69, 0.69, 0.45, 0.59, 0.47, 0.54, 100.00, 0.47, 0.29, 0.29, 0.59, 0.21, 0.29, 0.44, 100.00, 0.45, 0.28, 0.11, 0.21, 0.11, 0.21, 0.11, 0.18, 0.14, 100.00, 0.13, 0.08, 0.08, 0.09, 0.09, 0.06, 0.09, 0.09, 0.05, 0.06, 0.05, 0.05, 0.05, 100.00, 0.06, 0.05, 0.06, 100.00, 0.01, 0.04, 0.03, 0.03, 0.02, 0.03, 0.03, 0.04, 0.03, 0.00, 0.00, 0.01, 100.00, 0.03, 0.05, 0.03, 0.03, 0.02, 0.02, 0.02, 100.00, 0.00, 0.01, 0.02, 0.03, 0.02, 0.54, 0.06, 0.20, 0.08, 0.48, 0.29, 0.29, 0.45, 0.04, 0.13, 0.06, 0.05, 0.05, 0.18, 0.14, 0.08, 1.00, 0.06, 0.12, 0.05, 0.31, 0.11, 0.29, 0.09, 0.45, 0.06, 0.05, 0.03, 100.00, 0.07, 100.00, 0.41, 0.16, 0.05, 0.01, 100.00
UNIT_BARBARIAN_HORSE_ARCHER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.31, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.20, 1.02, 1.22, 1.02, 1.00, 0.47, 0.50, 0.50, 0.35, 0.56, 0.39, 0.54, 100.00, 0.39, 0.29, 0.29, 0.56, 0.21, 0.29, 0.54, 100.00, 0.24, 0.25, 0.15, 0.23, 0.15, 0.21, 0.15, 0.18, 0.17, 100.00, 0.17, 0.11, 0.11, 0.10, 0.11, 0.05, 0.06, 0.06, 0.08, 0.09, 0.07, 0.08, 0.07, 100.00, 0.07, 0.07, 0.09, 100.00, 0.02, 0.06, 0.05, 0.03, 0.02, 0.02, 0.02, 0.05, 0.04, 0.01, 0.01, 0.02, 100.00, 0.04, 0.05, 0.03, 0.04, 0.01, 0.04, 0.03, 100.00, 0.01, 0.02, 0.02, 0.03, 0.03, 0.54, 0.05, 0.25, 0.11, 0.42, 0.29, 0.29, 0.47, 0.06, 0.17, 0.09, 0.08, 0.04, 0.18, 0.17, 0.11, 1.02, 0.09, 0.16, 0.07, 0.26, 0.15, 0.29, 0.06, 0.35, 0.09, 0.06, 0.05, 100.00, 0.09, 100.00, 0.38, 0.18, 0.08, 0.02, 100.00
UNIT_SUMERIAN_WAR_CART, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.69, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.71, 2.20, 2.86, 2.20, 2.13, 1.00, 1.44, 1.44, 1.00, 1.29, 1.44, 1.14, 100.00, 1.44, 0.63, 0.63, 1.29, 0.45, 0.63, 0.93, 100.00, 0.98, 0.59, 0.25, 0.46, 0.25, 0.45, 0.25, 0.41, 0.31, 100.00, 0.43, 0.14, 0.14, 0.21, 0.20, 0.13, 0.18, 0.18, 0.09, 0.09, 0.07, 0.09, 0.08, 100.00, 0.09, 0.07, 0.11, 100.00, 0.02, 0.06, 0.05, 0.04, 0.03, 0.04, 0.04, 0.06, 0.04, 0.01, 0.01, 0.01, 100.00, 0.04, 0.08, 0.04, 0.04, 0.02, 0.03, 0.03, 100.00, 0.00, 0.01, 0.03, 0.04, 0.03, 1.14, 0.13, 0.44, 0.14, 1.04, 0.63, 0.63, 1.00, 0.06, 0.43, 0.11, 0.08, 0.09, 0.41, 0.31, 0.14, 2.20, 0.09, 0.26, 0.08, 0.69, 0.22, 0.63, 0.18, 1.00, 0.09, 0.08, 0.05, 100.00, 0.14, 100.00, 0.88, 0.33, 0.08, 0.01, 100.00
UNIT_BARBARIAN_RAIDER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.45, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.18, 1.44, 2.75, 1.44, 2.00, 0.69, 1.00, 1.00, 0.69, 1.26, 1.00, 0.79, 100.00, 1.00, 0.43, 0.43, 1.26, 0.31, 0.43, 0.44, 100.00, 0.65, 0.57, 0.16, 0.31, 0.16, 0.31, 0.16, 0.39, 0.32, 100.00, 0.29, 0.09, 0.09, 0.14, 0.09, 0.09, 0.13, 0.13, 0.08, 0.07, 0.06, 0.07, 0.06, 100.00, 0.08, 0.06, 0.11, 100.00, 0.01, 0.05, 0.04, 0.04, 0.02, 0.03, 0.03, 0.05, 0.03, 0.01, 0.01, 0.01, 100.00, 0.03, 0.06, 0.03, 0.03, 0.02, 0.03, 0.02, 100.00, 0.00, 0.01, 0.02, 0.03, 0.02, 0.79, 0.09, 0.21, 0.09, 1.00, 0.43, 0.43, 0.69, 0.05, 0.29, 0.11, 0.07, 0.06, 0.39, 0.21, 0.09, 1.44, 0.08, 0.18, 0.06, 0.68, 0.16, 0.43, 0.13, 0.69, 0.08, 0.07, 0.05, 100.00, 0.09, 100.00, 0.82, 0.22, 0.07, 0.01, 100.00
